[2026-05-17T11:11:31.938Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T11:11:31.939Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T11:11:31.951Z] Loaded .env.production
[2026-05-17T11:11:31.951Z] Using DATABASE_URL: mysql://u754458241_Kanan:****@127.0.0.1/u754458241_Kanan?connection_limit=1
[2026-05-17T11:11:31.951Z] DATABASE_URL set: true
[2026-05-17T11:11:31.951Z] NEXTAUTH_URL: https://morsall.com
[2026-05-17T11:11:31.951Z] PORT from env: 
[2026-05-17T11:11:31.951Z] UPLOAD_DIR: 
[2026-05-17T11:11:32.416Z] Server running on port 3000
[2026-05-17T11:11:32.416Z] Uploads served from: /home/u754458241/domains/morsall.com/nodejs/public/uploads
[2026-05-17T11:11:32.420Z] REQ: GET /health
[2026-05-17T11:11:50.453Z] REQ: GET /
[2026-05-17T11:11:50.795Z] REQ: POST /
[2026-05-17T11:11:51.086Z] === MORSALL SERVER v2 STARTING ===
[2026-05-17T11:11:51.087Z] Found node_modules at: /home/u754458241/domains/morsall.com/nodejs/node_modules
[2026-05-17T11:11:51.101Z] Loaded .env.production
[2026-05-17T11:11:51.101Z] Using DATABASE_URL: mysql://u754458241_Kanan:****@127.0.0.1/u754458241_Kanan?connection_limit=1
[2026-05-17T11:11:51.102Z] DATABASE_URL set: true
[2026-05-17T11:11:51.102Z] NEXTAUTH_URL: https://morsall.com
[2026-05-17T11:11:51.102Z] PORT from env: 
[2026-05-17T11:11:51.102Z] UPLOAD_DIR: 
[2026-05-17T11:11:51.576Z] Server running on port 3000
[2026-05-17T11:11:51.576Z] Uploads served from: /home/u754458241/domains/morsall.com/nodejs/public/uploads
[2026-05-17T11:11:51.579Z] REQ: POST /
[2026-05-17T11:11:52.122Z] REQ: POST /
[2026-05-17T11:11:52.459Z] REQ: POST /
[2026-05-17T11:11:54.018Z] REQ: GET /pinfo.php
[2026-05-17T11:11:54.439Z] REQ: GET /phpinfo
[2026-05-17T11:11:54.631Z] REQ: GET /p.php
[2026-05-17T11:11:54.819Z] REQ: GET /debug.php
[2026-05-17T11:11:55.011Z] REQ: GET /admin/phpinfo.php
[2026-05-17T11:11:55.200Z] REQ: GET /test/phpinfo.php
[2026-05-17T11:11:55.390Z] REQ: GET /dev/phpinfo.php
[2026-05-17T11:11:55.582Z] REQ: GET /old/phpinfo.php
[2026-05-17T11:11:55.775Z] REQ: GET /tmp/phpinfo.php
[2026-05-17T11:11:55.961Z] REQ: GET /public/phpinfo.php
[2026-05-17T11:11:56.150Z] REQ: GET /info
[2026-05-17T11:11:56.338Z] REQ: GET /php-info.php
[2026-05-17T11:11:56.529Z] REQ: GET /phpversion.php
[2026-05-17T11:11:56.715Z] REQ: GET /_phpinfo.php
[2026-05-17T11:11:56.907Z] REQ: GET /old_phpinfo.php
[2026-05-17T11:11:57.096Z] REQ: GET /server-info.php
[2026-05-17T11:11:57.280Z] REQ: GET /server-status.php
[2026-05-17T11:11:57.469Z] REQ: GET /_profiler/phpinfo
[2026-05-17T11:11:57.660Z] REQ: GET /_environment
[2026-05-17T11:11:57.845Z] REQ: GET /webroot/index.php/_environment
[2026-05-17T11:11:58.039Z] REQ: GET /mail/phpinfo.php
[2026-05-17T11:11:58.225Z] REQ: GET /cpanel/phpinfo.php
[2026-05-17T11:11:58.413Z] REQ: GET /hosting/phpinfo.php
[2026-05-17T11:11:58.604Z] REQ: GET /webmail/phpinfo.php
[2026-05-17T11:11:58.793Z] REQ: GET /smtp/phpinfo.php
[2026-05-17T11:18:38.184Z] REQ: GET /api/auth/session
[2026-05-17T11:18:38.374Z] REQ: GET /api/auth/session
[2026-05-17T11:18:38.407Z] REQ: GET /api/admin/orders
[2026-05-17T11:18:38.434Z] REQ: GET /api/admin/inventory
[2026-05-17T11:18:38.439Z] REQ: GET /api/admin/stats
[2026-05-17T11:18:38.449Z] REQ: GET /api/admin/approvals
